epoch,phase,loss,accuracy,weighted_f1,accuracy_anger,accuracy_disgust,accuracy_fear,accuracy_joy,accuracy_neutral,accuracy_sadness,accuracy_surprise,f1_anger,f1_disgust,f1_fear,f1_joy,f1_neutral,f1_sadness,f1_surprise
0,train,,0.6839523475823406,0.6482213781458933,0.4048692515779982,0.022140221402214,0.0186567164179104,0.6506024096385542,0.9163481953290872,0.2386530014641288,0.6298755186721992,0.4843581445523193,0.0433212996389891,0.0363636363636363,0.6441351888667992,0.8034251675353685,0.3471778487752928,0.6410472972972973
0,val,,0.6140667267808837,0.565218949185233,0.326797385620915,0.0,0.0,0.6196319018404908,0.8957446808510638,0.1351351351351351,0.6266666666666667,0.4273504273504273,0.0,0.0,0.592375366568915,0.7464539007092199,0.2158273381294964,0.6006389776357828
0,test,,0.6310344827586207,0.5897989710582718,0.2956521739130435,0.0147058823529411,0.0,0.5970149253731343,0.8909235668789809,0.1682692307692307,0.5338078291814946,0.3813084112149533,0.028169014084507,0.0,0.5693950177935944,0.775736568457539,0.2621722846441947,0.5272407732864675
1,train,,0.7495244769246171,0.7374210566509329,0.5329125338142471,0.4059040590405904,0.2238805970149253,0.7487091222030982,0.9089171974522292,0.4875549048316251,0.6697095435684647,0.6175548589341693,0.5116279069767442,0.3448275862068966,0.7077006507592191,0.8432144967500492,0.5596638655462185,0.7160603371783496
1,val,,0.6339044183949504,0.6081342130007821,0.3333333333333333,0.2272727272727272,0.125,0.656441717791411,0.8787234042553191,0.3063063063063063,0.5866666666666667,0.445414847161572,0.238095238095238,0.2083333333333333,0.592797783933518,0.7676579925650557,0.384180790960452,0.6175438596491228
1,test,,0.6394636015325671,0.6181052739387751,0.3594202898550724,0.1323529411764706,0.12,0.6393034825870647,0.8511146496815286,0.2836538461538461,0.5160142348754448,0.4460431654676259,0.1666666666666666,0.1875,0.5788288288288288,0.7757619738751814,0.3586626139817629,0.558766859344894
2,train,,0.8039843828211032,0.7953510231182421,0.8385933273219116,0.5535055350553506,0.3358208955223881,0.6666666666666666,0.9452229299363056,0.4421669106881405,0.7842323651452282,0.7099236641221374,0.6756756756756757,0.4891304347826087,0.7602224403009487,0.8800158134018581,0.5875486381322957,0.8066581306017926
2,val,,0.6321009918845807,0.6014237624769365,0.5947712418300654,0.2272727272727272,0.075,0.4785276073619632,0.8787234042553191,0.1711711711711711,0.6133333333333333,0.533724340175953,0.2941176470588235,0.1304347826086956,0.5777777777777777,0.7591911764705882,0.2676056338028169,0.6195286195286195
2,test,,0.6436781609195402,0.6142003423657699,0.5710144927536231,0.1470588235294117,0.06,0.4651741293532338,0.8797770700636943,0.1394230769230769,0.5302491103202847,0.5163826998689384,0.2040816326530612,0.1052631578947368,0.5412445730824892,0.7831325301204819,0.2239382239382239,0.5622641509433962
3,train,,0.9065972569826808,0.9055214162040666,0.8358881875563571,0.7306273062730627,0.7201492537313433,0.8720596672403901,0.9624203821656052,0.8243045387994143,0.9311203319502076,0.8512396694214877,0.8232848232848233,0.7909836065573771,0.8870732419025387,0.947038545910373,0.8466165413533835,0.8972411035585766
3,val,,0.6447249774571686,0.6229778719854153,0.4183006535947712,0.2272727272727272,0.2,0.5460122699386503,0.8702127659574468,0.3063063063063063,0.7066666666666667,0.512,0.2631578947368421,0.3018867924528302,0.5836065573770491,0.7616387337057728,0.3885714285714285,0.6563467492260062
3,test,,0.635632183908046,0.6173781178079314,0.4434782608695652,0.1176470588235294,0.16,0.554726368159204,0.8343949044585988,0.25,0.594306049822064,0.4967532467532468,0.1739130434782608,0.2025316455696202,0.5610062893081761,0.7711552612214864,0.3270440251572327,0.5548172757475083
4,train,,0.9428371208329162,0.9418162380434056,0.842200180342651,0.7822878228782287,0.8022388059701493,0.9001721170395869,0.9942675159235668,0.9194729136163984,0.9767634854771784,0.8967834853576572,0.8724279835390947,0.8793456032719836,0.936436884512086,0.964076170869789,0.9108049311094996,0.9511111111111112
4,val,,0.6230838593327321,0.5905924080908053,0.3137254901960784,0.1818181818181818,0.175,0.4907975460122699,0.9,0.2522522522522522,0.6733333333333333,0.4403669724770642,0.2424242424242424,0.28,0.5594405594405595,0.7440633245382586,0.327485380116959,0.6253869969040248
4,test,N/A,0.6310344827586207,0.6001581305145897,0.34782608695652173,0.11764705882352941,0.16,0.4701492537313433,0.8909235668789809,0.20673076923076922,0.5693950177935944,0.450281425891182,0.18181818181818182,0.2222222222222222,0.5228215767634855,0.7656517276770441,0.2721518987341772,0.5663716814159292
